source_id,entity,source_type,publisher,title,url,date_published,date_checked,primary_or_secondary,independent_or_owned,access_status,notes
S036,Helpberries,official,Helpberries,Главная,https://helpberries.ru/,,2026-09-18,primary,owned,live,фулфилмент WB/Ozon; процессы и контроль
S037,Helpberries,official,Helpberries,FBS-фулфилмент,https://helpberries.ru/fbs-fulfilment-prodazhi-dlya-marketpleysov,,2026-09-18,primary,owned,live,автоматическое поступление заказов через интеграцию; WB/Ozon
S038,СДЭК Фулфилмент,official,СДЭК Фулфилмент,FBS,https://www.ff.cdek.ru/fbs,,2026-09-18,primary,owned,live,сеть; FBS; тарифы
S039,СДЭК Фулфилмент,official,СДЭК Фулфилмент,FBS Wildberries,https://www.ff.cdek.ru/fbs/wildberries,,2026-09-18,primary,owned,live,FBS WB; тарифы; интеграция
S040,СДЭК Фулфилмент,official,СДЭК Фулфилмент,FBS Ozon,https://ff.cdek.ru/fbs/ozon,,2026-09-18,primary,owned,live,FBS Ozon; тарифы; интеграция
S041,СДЭК Фулфилмент,official,СДЭК Фулфилмент,Что такое FBS,https://www.ff.cdek.ru/blog/fbs-fulfillment-by-seller,2026-08,2026-09-18,primary,owned,live,автополучение заказов и передача остатков; сеть складов
S042,Ellsa,official,Ellsa,Главная,https://ellsa.ru/,,2026-09-18,primary,owned,live,FBS/FBO WB/Ozon; до 20 000 товаров/сутки; менее 20 часов
S043,ФуллБокс,official,ФуллБокс,Главная,https://fullbox.ru/,,2026-09-18,primary,owned,live,фулфилмент WB/Ozon; WMS
S044,ФуллБокс,official,ФуллБокс,Тарифы,https://fullbox.ru/tarify/,,2026-09-18,primary,owned,live,FBS-сборка от 35 ₽; хранение; маркировка ЧЗ
S045,SkladBot,official,SkladBot,Главная,https://skladbot.ru/,,2026-09-18,primary,owned,live,FBS/FBO; WB/Ozon; собственная WMS; страхование; тарифы
S046,FulFillYou,official,Ful Fill You,Фулфилмент для Ozon,https://fulfillyou.ru/fulfilment-for-ozon,,2026-09-18,primary,owned,live,100 000+ ед./день; 40 000+ паллетомест; IT-платформа; страхование
S047,Easyful,official,Easyful,Главная,https://easyful.ru/,,2026-09-18,primary,owned,live,FBS/FBO; WB/Ozon; автоматизация; онлайн-остатки; прайс операций
S048,Нитропак,official,Нитропак,FBO на Ozon,https://nitropack.ru/blog/fbo-ozon,2026-08-19,2026-09-18,primary,owned,live,прямо указано: FBS для Ozon не обрабатывается
S049,Нитропак,official,Нитропак,FBS для Wildberries,https://nitropack.ru/fulfillment-fbs,,2026-09-18,primary,owned,live,FBS только Wildberries; 1 раз/сутки
S050,IndexResearch,methodology,IndexResearch,Методология рейтингов,https://github.com/IndexResearch-ru/rating-methodology,,2026-09-18,primary,independent,live,общий стандарт IndexResearch
